Loyalty#,Customer Name,TotalLifetimeValue,alert
102207.0,Leah Opsahl,6960.92,no
102212.0,Kourtney Dupaty,16985.4,no
102259.0,Marisha Halmstead,3945.24,no
102272.0,Tawnya Inniss,7179.23,no
102284.0,Birgit Kiral,7416.47,no
102292.0,Alba Yacullo,3508.57,no
102299.0,Jeanice Huey,2089.34,no
102303.0,Hang Sicotte,5156.07,no
102308.0,Tania Ploss,12866.89,no
102311.0,Marcus Snaer,7507.46,no
102315.0,Lucienne Godino,7804.6,no
102340.0,Teodora Dicks,9472.97,no
102354.0,Jazmin Waln,14914.53,no
102376.0,Florrie Bartling,12765.78,no
102380.0,Callie Dumbleton,5925.44,no
102381.0,Karie Temoney,3517.39,no
102388.0,Rosenda Malawy,4170.69,no
102396.0,Laraine Spaeth,10130.93,no
102412.0,Magdalen Mcshane,14517.98,no
102420.0,Star Jansen,7144.98,no
102464.0,Sherryl Mamaclay,5451.36,no
102470.0,Maryalice Drath,2052.95,no
102476.0,Jeffrey Hafele,30141.62,no
102515.0,Roman Kuzyk,4653.09,no
102549.0,Rosaria Mussa,14808.06,no
102550.0,Christina Maidonado,13812.4,no
102556.0,Merle Coonce,4878.83,no
102578.0,Kathryn Mcjunkin,11720.96,no
102609.0,Shani Eskra,5500.01,no
102615.0,Erline Fellers,7590.05,no
102625.0,Myrtis Ronero,13891.68,no
102633.0,Issac Trizarry,4582.69,no
102688.0,Devon Madalinski,9005.74,no
102690.0,Cuc Bomia,13197.93,no
102692.0,Alec Jarett,14418.82,no
102696.0,Vasiliki Benzing,5021.69,no
102710.0,Cherly Mateer,23142.15,no
102726.0,Eli Woodford,8044.87,no
102730.0,Chance Sammer,2453.57,no
102732.0,Malissa Umin,2771.05,no
102740.0,Estell Chevas,16922.13,no
102788.0,Alla Armwood,11124.21,no
102789.0,Terry Peredz,2585.96,no
102811.0,Bess Novembre,7426.46,no
102826.0,Reina Richemond,8197.71,no
102840.0,Yolando Dahme,12570.3,no
102849.0,Wilhelmina Muhs,4210.1,no
102851.0,Derick Seiwell,19435.63,no
102855.0,Madelyn Dahlheimer,4236.3,no
102877.0,Delilah Berk,2863.04,no
102909.0,Gerald Hammerly,2569.69,no
102918.0,Rogelio Ahrends,7778.01,no
102925.0,Richard Swiney,4358.55,no
102932.0,Fay Prowse,5968.12,no
102970.0,Rosalba Ferster,8382.63,no
102982.0,Idalia Blair,5235.57,no
102994.0,Gwenda Deaton,2615.91,no
103006.0,Shad Kinkade,2570.16,no
103043.0,Denice Kosack,6702.42,no
103052.0,Augustina Cunis,2876.78,no
103063.0,Edythe Regino,8060.16,no
103074.0,Nicolas Barbu,2734.44,no
103080.0,Lanelle Bayard,4079.13,no
103151.0,Wanetta Rekus,32613.69,no
103159.0,Kathryne Kooser,3527.85,no
103165.0,Alanna Brenes,4867.38,no
103175.0,Babette Desamparo,3691.77,no
103199.0,Jesenia Checca,6462.22,no
103217.0,Jeane Umana,6439.33,no
103229.0,Shirlee Passantino,13576.14,no
103255.0,Hsiu Tuter,23263.76,no
103256.0,Adolph Morles,16004.62,no
103262.0,Moira Yerico,11649.54,no
103266.0,India Deitz,11308.47,no
103304.0,Dennis Salvato,2683.47,no
103312.0,Sammy Tricoche,4553.81,no
103321.0,Laurena Bengel,26197.41,no
103331.0,Brain Schamburek,3208.92,no
103340.0,Dominga Arrezola,7577.07,no
103352.0,Willy Cochis,5555.49,no
103357.0,Shan Devoid,4812.53,no
103359.0,Cierra Oriol,4502.87,no
103362.0,Matt Lazard,18908.84,no
103383.0,Sharan Gradillas,13466.92,no
103389.0,Annetta Streams,13024.22,no
103428.0,Woodrow Childres,4944.24,no
103436.0,Dannielle Carrano,5015.01,no
103442.0,Rosa Gerl,28622.31,no
103461.0,Marilu Companie,5632.61,no
103468.0,Mira Urion,22772.73,no
103473.0,Ryann Tavolacci,6618.02,no
103490.0,Cecily Fabrizio,30868.299999999996,no
103492.0,Monserrate Grunberg,2632.55,no
103495.0,Verena Plansinis,3915.8,no
103497.0,Savannah Honchell,10617.24,no
103502.0,Idell Chason,5161.7,no
103510.0,Aiko Deubler,4821.99,no
103536.0,Tangela Mentzel,9202.64,no
103546.0,Domingo Snellman,16161.9,no
103560.0,Francisco Pickette,9916.68,no
103561.0,Benita Vanepps,12880.75,no
103582.0,Darren Glawson,8044.87,no
103585.0,Charmaine Winson,28048.72,no
103616.0,Isadora Greenler,3619.06,no
103629.0,Abe Gholston,11084.61,no
103633.0,Georgeann Pirkey,13881.94,no
103651.0,Rufina Blackley,4685.5,no
103658.0,Bonita Tubb,12880.4,no
103662.0,Cindy Pizzulo,5310.91,no
103673.0,Harlan Coppa,7568.85,no
103674.0,Magali Ganey,8010.97,no
103675.0,Leslee Redfear,4381.88,no
103683.0,Kimberly Liaw,2609.53,no
103699.0,Ramiro Spalla,11190.78,no
103731.0,Magdalene Lavalle,12046.02,no
103741.0,Lizzette Blumenkrantz,18708.06,no
103758.0,Jacklyn Defrates,14727.51,no
103763.0,Rashida Guardipee,12056.64,no
103769.0,Mitsuko Mathiasen,5162.04,no
103792.0,Sean Beitzel,8272.49,no
103809.0,Rachael Lutgen,10521.84,no
103823.0,Kurtis Alumbaugh,9625.06,no
103825.0,Nieves Wallenbrock,2869.3,no
103832.0,Anne Hiscox,3350.24,no
103842.0,Gail Mikola,17995.87,no
103860.0,Lorean Lackett,3358.53,no
103862.0,Genevieve Moorhouse,4878.83,no
103888.0,Modesto Bonnlander,5455.04,no
103899.0,Jaye Salmons,4981.83,no
103901.0,Alton Sport,24980.23,no
103916.0,Chae Lawther,15223.21,no
103969.0,Robbyn Bonita,31410.93,no
103970.0,Dorla Mario,8257.67,no
103975.0,Chrystal Schwuchow,2411.26,no
103985.0,Grant Perloff,2761.69,no
103998.0,Arlette Valiquette,7582.11,no
104012.0,Francisco Ascol,11628.73,no
104016.0,Ivey Rattner,3554.85,no
104023.0,Malcom Valles,18688.86,no
104041.0,Rosenda Mitchell,4170.69,no
104051.0,Hanna Senavanh,5431.21,no
104085.0,Jillian Heimlicher,6446.92,no
104098.0,Mauro Disarufino,16419.84,no
104103.0,Alisha Arlen,16525.76,no
104118.0,Nannie Kockler,4477.45,no
104137.0,Loyce Trainor,9378.81,no
104141.0,Sharell Galster,10353.75,no
104150.0,Daisey Sammarco,8288.16,no
104158.0,Daniel Hoganson,34708.87,no
104163.0,Fredricka Mcdugle,5556.28,no
104176.0,Arianna Gillam,7959.44,no
104180.0,Georgianna Millea,7179.23,no
104237.0,Olympia Lannigan,3677.78,no
104267.0,Leighann Hausmann,2701.04,no
104270.0,Anissa Churches,9856.0,no
104276.0,Melodie Vancleve,7126.47,no
104280.0,France Ragusa,12052.98,no
104287.0,Anisa Keup,3966.13,no
104292.0,Shane Gurrola,19750.18,no
104336.0,Taunya Aksoy,2227.07,no
104339.0,Nathanael Ozga,13363.52,no
104353.0,Dan Enrriquez,15777.89,no
104361.0,Young Kapsos,16703.53,no
104368.0,Clarence Fils,5444.79,no
104374.0,Mayola Lechliter,6476.0,no
104378.0,Cordelia Delveechio,8432.52,no
104402.0,Marceline Damario,6089.58,no
104407.0,Sharlene City,17721.3,no
104426.0,Daron Bicking,13745.05,no
104431.0,Johnnie Mespelt,2822.59,no
104436.0,Paulina Helfin,2276.39,no
104462.0,Eleanore Neisius,3211.07,no
104496.0,Jutta Rendell,4384.85,no
104514.0,Gwenda Vacanti,7679.22,no
104541.0,Dewey Tapper,8621.0,no
104559.0,Brendan Feig,28119.29,no
104577.0,Marti Conliffe,5517.2,no
104586.0,Tracey Smuck,15545.16,no
104604.0,Carlene Poythress,11021.94,no
104608.0,Lilian Shular,35227.3,no
104620.0,Johanne Truglio,29091.24,no
104624.0,Dalton Shiffer,5352.19,no
104668.0,Dotty Hanohano,5161.7,no
104673.0,Timothy Bugay,14723.41,no
104675.0,Hyun Kosoff,3235.36,no
104688.0,Brook Wainright,8002.31,no
104702.0,Shondra Cabotaje,5187.8,no
104717.0,Lorita Bakkala,5143.88,no
104732.0,Bernadine Bosley,13039.15,no
104739.0,Petrina Chessman,10997.88,no
104740.0,Ernestina Guadagno,3351.21,no
104747.0,Murray Veltz,12160.11,no
104751.0,Xavier Neuhauser,5408.89,no
104771.0,Bobbie Wandrei,4601.63,no
104787.0,Lise Perez,2921.49,no
104798.0,Veda Birchett,16922.13,no
104822.0,Neely Kvamme,2730.2,no
104841.0,Darla Apperson,3891.58,no
104849.0,Kena Goodly,2816.76,no
104853.0,Bunny Schaffel,7909.3,no
104865.0,Edra Ziska,12772.56,no
104885.0,Napoleon Laughery,8986.61,no
104927.0,Cammie Roca,8481.86,no
104944.0,Jesse Schirrmacher,10781.61,no
104960.0,Rozanne Dinkins,2551.23,no
104982.0,Faustina Bussey,3312.32,no
105030.0,Wilfred Boruvka,5481.5,no
105034.0,Eugene Middlebrook,13932.28,no
105042.0,Felisha Batel,17965.7,no
105055.0,Preston Cusenza,6291.59,no
105063.0,Many Schlicher,7251.33,no
105073.0,Gregory Villante,7562.82,no
105074.0,Kathryne Axt,2799.75,no
105082.0,Evia Gillim,5106.11,no
105095.0,Sheena Gradford,8694.0,no
105106.0,Estell Nockels,8717.56,no
105107.0,Esmeralda Idrovo,3651.69,no
105108.0,Aurora Whelehan,3515.46,no
105143.0,Xochitl Capper,13994.02,no
105145.0,Tonisha Rowe,4839.11,no
105151.0,Albertha Yamaki,8556.42,no
105158.0,Effie Gallegly,8610.67,no
105182.0,Emmaline Stoel,42871.76,no
105191.0,Dolly Pazik,2231.79,no
105193.0,Carter Schlecter,26514.27,no
105201.0,Matthew Rearden,17747.06,no
105204.0,Maia Shepp,2710.15,no
105214.0,Olimpia Mcginister,5897.99,no
105225.0,Christene Wildermuth,28182.38,no
105235.0,Ardelia Babat,6930.63,no
105244.0,Cori Hunnings,9135.29,no
105251.0,Karisa Sturkey,5074.25,no
105265.0,Ileen Xayavong,26575.050000000003,no
105308.0,Dia Bew,2497.53,no
105335.0,Joellen Bizzle,11611.95,no
105345.0,Verlene Azapinto,18440.02,no
105352.0,Sara Gergely,7846.54,no
105371.0,Hettie Deischer,8868.82,no
105377.0,Zula Cheshier,2924.98,no
105392.0,Lavern Corney,10958.01,no
105434.0,Jayna Huy,4920.77,no
105439.0,Erik Emhoff,5255.58,no
105441.0,Lilli Umfleet,9552.93,no
105473.0,Laurene Rheome,36723.12,no
105490.0,Donetta Vanmarter,51016.07,yes
105495.0,Thomasina Valladao,6863.12,no
105508.0,Alita Amarante,3683.47,no
105521.0,Savannah Lanouette,2388.35,no
105537.0,Augustine Segawa,13599.92,no
105552.0,Bradly Korfhage,8256.3,no
105557.0,Randy Prodoehl,5061.18,no
105568.0,Evangeline Arlt,5012.08,no
105573.0,Mariko Stovall,26166.98,no
105587.0,Fiona Tassie,14202.78,no
105621.0,Tiara Saguil,9028.31,no
105625.0,Leif Stiel,4236.81,no
105628.0,Carter Padua,6624.61,no
105651.0,Drew Uriegas,7914.82,no
105665.0,Nova Zange,7542.71,no
105669.0,Milton Lawall,2864.54,no
105677.0,Noel Thiel,23435.73,no
105688.0,Melvin Kent,5507.06,no
105699.0,Maia Breck,4908.21,no
105700.0,Jolyn Terrano,7944.97,no
105704.0,Evelia Stechuchak,28432.0,no
105712.0,Kim Slinkard,8311.14,no
105717.0,Danial Luers,22758.91,no
105789.0,Blondell Born,2943.05,no
105810.0,Demarcus Eichhorn,4191.06,no
105823.0,Lashawna Sensel,30324.14,no
105830.0,Lue Tesauro,8509.85,no
105834.0,Damon Stivers,2937.42,no
105835.0,Ricki Scarset,9512.26,no
105836.0,Kaitlyn Sarchet,7564.61,no
105841.0,Lesia Batlle,17420.57,no
105852.0,Zachariah Litchfield,34815.09,no
105856.0,Jannet Hymas,5306.16,no
105862.0,Eddie Enstrom,11793.13,no
105898.0,Rosario Schwall,18015.63,no
105921.0,Laurine Rappley,12548.91,no
105923.0,Lane Prock,7899.22,no
105932.0,Lisandra Rorer,3671.82,no
105933.0,Lloyd Goltz,20594.0,no
105948.0,Delila Calowell,25585.73,no
105954.0,Johnnie Frosto,2389.98,no
105990.0,Hildegarde Rosada,3274.04,no
105992.0,Adam Pipkin,5905.97,no
105993.0,Soila Amyx,9688.13,no
106001.0,Maudie Hyland,17082.78,no
106002.0,Douglass Moehr,6687.76,no
106009.0,Marietta Wineinger,2805.1,no
106020.0,Etsuko Solarzano,11288.17,no
106037.0,Jesus Sapien,11281.52,no
106038.0,Kathline Mendosa,7380.09,no
106041.0,Eugene Raisler,5325.72,no
106046.0,Peter Michavd,2658.22,no
106048.0,Janeen Mackessy,11315.2,no
106067.0,Jamar Christan,72519.01999999999,yes
106084.0,Joey Pringle,4724.79,no
106091.0,Eura Jeska,2695.35,no
106099.0,Ehtel Galdamez,11533.97,no
106101.0,Hung Pung,7173.91,no
106116.0,Barabara Pratillo,2298.38,no
106127.0,Mahalia Reischl,13877.74,no
106163.0,Derrick Rossetto,8558.93,no
106168.0,Deja Aguire,7553.94,no
106169.0,Marlana Schuner,14884.71,no
106171.0,Hulda Chiasson,6535.56,no
106176.0,Kimberlie Massengill,12016.36,no
106190.0,Cher Chol,9114.28,no
106199.0,Leonardo Hiller,9309.9,no
106218.0,Shonna Yarzabal,16473.17,no
106249.0,Jamey Schrecker,26618.68,no
106260.0,Roxana Kannas,5793.16,no
106263.0,Contessa Kleppinger,9095.05,no
106283.0,Mirian Bullion,6767.81,no
106289.0,Kirstie Adelstein,5703.3,no
106324.0,Sophie Feinblatt,14984.32,no
106325.0,Wilburn Grill,9198.69,no
106330.0,Viola Gumm,14353.18,no
106369.0,Stacey Fuhriman,8260.64,no
106397.0,Val Chrislip,7902.68,no
106420.0,Collin Maltbie,5357.76,no
106423.0,Rickie Hornshaw,8427.84,no
106427.0,Luna Baxi,6273.91,no
106437.0,Geralyn Harlin,9752.94,no
106444.0,Jill Thomann,16895.6,no
106445.0,Kandice Igoe,7201.86,no
106454.0,Shonda Bratcher,2631.88,no
106477.0,Bryce Peel,2487.26,no
106509.0,Ardelia Whitehorse,21389.75,no
106515.0,Mireya Kumfer,9095.05,no
106557.0,Robt Razon,9359.96,no
106576.0,Dionne Grell,7902.68,no
106589.0,Maile Konruff,11638.9,no
106592.0,Willena Katzaman,32872.92,no
106601.0,Maryam Lansberry,24091.34,no
106616.0,Roxanne Cools,5121.38,no
106623.0,Selena Stautz,21655.74,no
106637.0,Elise Pitney,7455.36,no
106663.0,Katheleen Henwood,15470.6,no
106664.0,Raul Fenceroy,2620.9,no
106689.0,Buster Beltrame,2795.41,no
106696.0,Latarsha Carducci,3129.11,no
106699.0,Tijuana Lepore,12741.85,no
106754.0,Brad Moger,31864.86,no
106757.0,Kimberli Lothrop,42847.28,no
106776.0,Karly Runzler,19357.8,no
106779.0,Aimee Biggio,2491.32,no
106801.0,Farah Tieu,10828.37,no
106804.0,Despina Dukeman,7449.86,no
106807.0,Heriberto Isbill,10970.13,no
106835.0,Deanne Kinnier,2300.69,no
106838.0,Arnetta Hubbartt,12809.25,no
106839.0,Coralie Duffin,13022.94,no
106878.0,Amie Koenecke,6827.18,no
106920.0,Mark Hottes,5340.81,no
106933.0,Colleen Colman,102270.12,yes
106936.0,Sarah Spraque,57520.5,yes
106939.0,Luanna Fregoso,14980.05,no
106946.0,Nohemi Forno,15592.0,no
106949.0,Vinnie Risper,12349.7,no
106960.0,Donita Milham,5595.39,no
106964.0,Ira Stamison,5568.95,no
106966.0,Nelia Fassler,5981.38,no
106978.0,Denice Flaum,3455.23,no
106979.0,Lesli Klines,14083.97,no
106980.0,Francis Arundel,6732.97,no
106988.0,Nila Hamby,32990.13,no
106997.0,Micheline Meabon,3808.12,no
107000.0,Olivia Dillehay,27443.47,no
107005.0,Taina Boenisch,5380.9,no
107011.0,Shad Inabinett,10033.28,no
107014.0,Yuki Goodnoe,7920.11,no
107033.0,Princess Rubens,6912.04,no
107037.0,Sabine Balla,17732.46,no
107042.0,Julieann Ybanez,22067.73,no
107053.0,Fredda Bergevin,18532.41,no
107064.0,Caroline Maiers,4025.1,no
107067.0,Francie Protzman,5137.35,no
107073.0,Tonisha Brosch,7712.44,no
107075.0,Kyle Borgeson,25619.489999999998,no
107092.0,Breanne Paulik,2449.58,no
107098.0,Luis Fitzwater,2927.73,no
107110.0,Louvenia Sawyers,4476.81,no
107119.0,Tobi Perkins,17684.65,no
107133.0,Gregorio Wieloch,22261.02,no
107141.0,Kareem Aragones,14585.82,no
107157.0,Sarah Arrindel,5560.28,no
107201.0,Lisha Urban,5470.06,no
107203.0,Wilda Cruzen,3044.79,no
107206.0,Honey Clemens,12027.48,no
107212.0,Keneth Doto,6842.58,no
107224.0,Emelda Serapio,7602.66,no
107240.0,Gwyn Abaya,8564.77,no
107247.0,Genoveva Nampel,2610.37,no
107267.0,Arlyne Sunkel,6500.41,no
107270.0,Nilda Strawser,5625.31,no
107291.0,Gene Fillyaw,5284.51,no
107296.0,Norman Dimucci,35190.58,no
107311.0,Joetta Hergenrader,7865.18,no
107329.0,Evie Sillery,5416.41,no
107358.0,Jinny Stockfisch,5710.33,no
107375.0,Shonna Alim,7243.87,no
107385.0,Hermila Zilahi,14310.94,no
107406.0,Kirby Mckendree,20090.44,no
107420.0,Dell Hush,15771.39,no
107438.0,Lakia Shewmake,2535.22,no
107461.0,Lorie Middents,2519.92,no
107466.0,Vergie Inghem,8571.16,no
107477.0,Ryann Narciso,2674.73,no
107483.0,Byron Roca,23564.88,no
107487.0,Jeanette Swartzbeck,7805.31,no
107491.0,Michaele Hemmings,2640.32,no
107503.0,Manuela Mclemore,16130.46,no
107514.0,Gilberte Gerst,5213.37,no
107519.0,Nadia Wage,10802.52,no
107520.0,Verlie Perotti,2907.44,no
107539.0,Kristine Engelmeyer,4591.63,no
107567.0,Juan Yan,4270.03,no
107571.0,Nannette Stassi,7486.09,no
107573.0,Daren Koiner,9824.75,no
107574.0,Rolando Alderson,5498.94,no
107593.0,Carmel Moorer,6104.72,no
107615.0,Philip Hunke,8044.51,no
107617.0,Lia Munafo,20096.89,no
107633.0,Argelia Dabrowski,8247.95,no
107639.0,Warren Trites,4905.48,no
107643.0,Belen Maurus,21595.260000000002,no
107649.0,Nikia Mazzotta,11758.36,no
107658.0,Mireille Kegerries,7334.33,no
107708.0,Heidi Ejide,22185.88,no
107719.0,Launa Strachman,2345.08,no
107727.0,Pearle Kaku,5333.96,no
107730.0,Cristi Astor,26511.6,no
107778.0,Candelaria Mcbath,8621.0,no
107780.0,Britt Clevinger,2718.38,no
107807.0,Kenneth Amelung,5418.46,no
107816.0,Tomas Olejarski,7452.94,no
107821.0,Brice Benyo,4883.34,no
107835.0,Laurence Houseal,10487.67,no
107839.0,Gerard Puliafico,6732.2,no
107845.0,Tonja Poinson,10928.41,no
107851.0,Coleen Bergen,3337.59,no
107854.0,Elizebeth Neer,13055.57,no
107861.0,Eugene Farran,5332.46,no
107868.0,Larissa Wen,8624.92,no
107902.0,Erminia Stroker,4369.5,no
107923.0,Carrol Badame,7343.64,no
107928.0,Rosia Berrian,4228.73,no
107965.0,Lamonica Saller,5346.92,no
107978.0,Danna Hamborsky,6622.05,no
107993.0,Arnita Mills,23740.12,no
108022.0,Kimber Lukow,10057.16,no
108042.0,Edward Rons,7885.84,no
108053.0,Shameka Foss,43846.24,no
108054.0,Yvonne Munzer,5206.11,no
108055.0,Darcie Knuth,8693.63,no
108085.0,Ermelinda Reudink,10781.61,no
108086.0,Afton Deruyter,8343.75,no
108107.0,Floy Henkey,7238.5,no
108114.0,Jaime Slight,12316.8,no
108116.0,Meta Grabinger,27472.26,no
108134.0,Alonzo Brugger,3919.37,no
108141.0,Alvina Acklin,8945.69,no
108147.0,Kristofer Willms,4300.9,no
108148.0,Jerrie Coponen,4492.23,no
108170.0,Faith Mutolo,5479.56,no
108187.0,Daron Wellons,9949.6,no
108262.0,Edwina Shoats,6120.19,no
108264.0,Ha Shinney,2515.41,no
108268.0,Chrystal Zauner,4708.2,no
108272.0,Loura Clubb,2685.74,no
108278.0,Jessika Homewood,7770.299999999999,no
108293.0,Criselda Gari,3359.29,no
108311.0,Kylee Garity,24714.24,no
108326.0,Luella Piggs,3185.17,no
108334.0,Hannelore Heimark,4835.57,no
108341.0,Ngoc Brimfield,29577.28,no
108346.0,Dorthy Hinote,9709.5,no
108360.0,Tamala Thyng,7583.14,no
108367.0,Roberto Truscott,3528.04,no
108377.0,Alina Osterloh,13357.45,no
108381.0,Bridget Kley,6578.26,no
108384.0,Alice Morles,8737.84,no
108430.0,Rosamond Merrih,30081.37,no
108440.0,Pat Eberth,7842.87,no
108441.0,Whitney Alsman,6273.91,no
